Hash;Count;Manufacturer;Model;Year From;Year To;Horsepower;Fuel Type
8610c9e2f1314468891105b1ffe50cefe96985d742579b90477258e54ed68996;5;Audi;A4 Allroad;2023;2024;265 hp;Benzin
5c643147eded9b74223d650093af1f3dcc0361af261c1ec545daa413fdf1a948;5;Chevrolet;Camaro;2021;2024;340 hp;Benzin
87d38e113f412b8f52381d0edc1bada8e301ec2f791db1fd462b195739f8664d;5;Skoda;Octavia;2022;2024;200 hp;Diesel
0609abd1df082ebc8987f5f75d73c71014b48f3f01a355e3ad9bfbf346f0b9f7;5;Volkswagen;Golf;2025;2025;325 hp;Benzin
9438943f1af0c002822954733421b481e6f29d63374ccc5738dd36c29ed3e088;4;Cupra;Leon;2022;2023;245 hp;Benzin
7834ff668783780e01376ed4982129c2367883ac88a9007321646f0b80b2efa6;4;BMW;M440;2021;2023;374 hp;Benzin
a8aa9e7307cef1ec7ef488a82aef681ccbda06881ddaaafba6150bf02ecb6ee6;4;Volkswagen;Passat Variant;2022;2023;200 hp;Diesel
414abc78f87f05adfb45d109d485311b9e338d3d01e98aa7362e9f9dc7cda5f8;4;Mercedes-Benz;C 300;2023;2023;288 hp;Diesel
3e90b5c4d54532660dafd52c1e0e93966eaed1053fa7f06557096f8f3065c61a;4;Audi;A6;2024;2025;245 hp;Diesel
f77fa2338d34b78c662948a764ccccc135b7b768c4d5c1041404c7a971e62bb9;4;Seat;Leon;2023;2023;310 hp;Benzin
24d9b9fc2b92e751378d4661f0f3db35b536f52f65aeccdb72d447364eb9642c;3;Volkswagen;Passat Variant;2022;2022;280 hp;Benzin
94482c164eed40bab0d6cdd4ff665b9e84d8f57a476588973f9fa453dcd6e670;3;Mercedes-Benz;E 300;2020;2023;286 hp;Diesel
dbfe47a2dc512029dbe9ccb64d92fe7074d6fa630549035e31e1f1baad47bcb8;3;Audi;A4 Allroad;2020;2020;252 hp;Benzin
6ae50036541892ddb3e3b85a5d56ddb89979dedcc3e60b6027894f21b5037c38;3;Mercedes-Benz;C 220;2021;2023;220 hp;Diesel
